obs_date,plant_id,height_cm,leaves,internode_cm,spad,lai,note,recorded_by,updated_at
2026-09-07,1,0,0,,,,,Emma,2026-09-15T22:23:17.222+00:00
2026-09-07,2,0,0,,,,,Emma,2026-09-15T22:23:20.452+00:00
2026-09-07,3,0,0,,,,,Emma,2026-09-15T22:23:23.68+00:00
2026-09-07,4,0,0,,,,,Emma,2026-09-15T22:23:31.697+00:00
2026-09-07,5,0,0,,,,,Emma,2026-09-15T22:23:29.148+00:00
2026-09-07,6,0,0,,,,,Emma,2026-09-15T22:23:26.268+00:00
2026-09-07,7,0,0,,,,,Emma,2026-09-15T22:23:36.166+00:00
2026-09-07,8,0,0,,,,,Emma,2026-09-15T22:23:39.551+00:00
2026-09-07,9,0,0,,,,,Emma,2026-09-15T22:23:41.693+00:00
2026-09-07,10,0,0,,,,,Emma,2026-09-15T22:23:49.945+00:00
2026-09-07,11,0,0,,,,,Emma,2026-09-15T22:23:47.319+00:00
2026-09-07,12,0,0,,,,,Emma,2026-09-15T22:23:44.859+00:00
2026-09-08,1,0,0,,,,no growth,Emma,2026-09-15T18:14:15.961+00:00
2026-09-08,2,0,0,,,,no growth,Emma,2026-09-15T22:22:33.819+00:00
2026-09-08,3,0,0,,,,no growth,Emma,2026-09-15T18:14:22.841+00:00
2026-09-08,4,0,0,,,,no growth,Emma,2026-09-15T22:22:31.923+00:00
2026-09-08,5,0,0,,,,emergence,Emma,2026-09-15T18:14:29.305+00:00
2026-09-08,6,0,0,,,,no growth,Emma,2026-09-15T18:14:25.63+00:00
2026-09-08,7,0,0,0,,,no growth,Emma,2026-09-15T22:22:51.431+00:00
2026-09-08,8,0,0,0,,,emergence,Emma,2026-09-15T22:22:48.355+00:00
2026-09-08,9,0,0,,,,emergence,Emma,2026-09-15T22:22:45.123+00:00
2026-09-08,10,0,0,0,,,emergence,Emma,2026-09-15T22:22:55.277+00:00
2026-09-08,11,0,0,0,,,emergence,Emma,2026-09-15T22:22:58.541+00:00
2026-09-08,12,0,0,0,,,emergence,Emma,2026-09-15T22:23:02.422+00:00
2026-09-09,1,0,0,,,,no growth,Emma,2026-09-15T18:13:35.692+00:00
2026-09-09,2,0,0,,,,no growth,Emma,2026-09-15T18:13:38.942+00:00
2026-09-09,3,0,0,,,,no growth,Emma,2026-09-15T18:13:41.412+00:00
2026-09-09,4,0,0,,,,no growth,Emma,2026-09-15T18:13:49.499+00:00
2026-09-09,5,0,0,,,,emergence,Emma,2026-09-15T18:13:46.598+00:00
2026-09-09,6,0,0,,,,no growth,Emma,2026-09-15T18:13:43.995+00:00
2026-09-09,7,0,0,,,,no growth,Emma,2026-09-15T18:13:56.449+00:00
2026-09-09,8,0,0,,,,emergence,Emma,2026-09-15T18:13:58.585+00:00
2026-09-09,9,0,0,,,,emergence,Emma,2026-09-15T18:14:00.774+00:00
2026-09-09,10,0,0,,,,emergence,Emma,2026-09-15T18:14:08.928+00:00
2026-09-09,11,0,0,,,,emergence,Emma,2026-09-15T18:14:05.885+00:00
2026-09-09,12,0,0,,,,emergence,Emma,2026-09-15T18:14:03.606+00:00
2026-09-10,1,0,0,,,,no growth,Emma,2026-09-15T18:13:06.429+00:00
2026-09-10,2,0,0,,,,no growth,Emma,2026-09-15T18:13:08.702+00:00
2026-09-10,3,0,0,,,,no growth,Emma,2026-09-15T18:13:11.009+00:00
2026-09-10,4,0,0,,,,emergence,Emma,2026-09-15T18:13:17.751+00:00
2026-09-10,5,1.5,0,,,,,Emma,2026-09-15T18:13:15.064+00:00
2026-09-10,6,0,0,,,,no growth,Emma,2026-09-15T18:13:13.462+00:00
2026-09-10,7,0,0,,,,no growth,Emma,2026-09-15T18:13:20.807+00:00
2026-09-10,8,1.3,0,,,,,Emma,2026-09-15T18:13:22.707+00:00
2026-09-10,9,2.5,0,,,,,Emma,2026-09-15T18:13:24.27+00:00
2026-09-10,10,3,0,,,,,Emma,2026-09-15T18:13:28.907+00:00
2026-09-10,11,2,0,,,,,Emma,2026-09-15T18:13:27.447+00:00
2026-09-10,12,3.5,0,,,,,Emma,2026-09-15T18:13:26.107+00:00
2026-09-11,1,0,0,,,,no growth,Emma,2026-09-15T18:12:38.114+00:00
2026-09-11,2,0,0,,,,no growth,Emma,2026-09-15T18:12:35.22+00:00
2026-09-11,3,0,0,,,,no growth,Emma,2026-09-15T18:12:40.316+00:00
2026-09-11,4,0,0,,,,emergence,Emma,2026-09-15T18:12:50.764+00:00
2026-09-11,5,2.5,2,,,,,Emma,2026-09-15T17:39:02.624+00:00
2026-09-11,6,0,0,,,,no growth,Emma,2026-09-15T18:12:45.982+00:00
2026-09-11,7,0,0,,,,no growth,Emma,2026-09-15T18:12:55.465+00:00
2026-09-11,8,2.5,2,,,,,Emma,2026-09-15T17:39:15.085+00:00
2026-09-11,9,3.5,2,,,,,Emma,2026-09-15T17:39:19.76+00:00
2026-09-11,10,3.5,2,,,,,Emma,2026-09-15T17:39:28.734+00:00
2026-09-11,11,2.5,,,,,,Emma,2026-09-15T17:39:41.06+00:00
2026-09-11,12,5,2,,,,,Emma,2026-09-15T17:39:52.09+00:00
2026-09-14,1,0,0,,,,no growth,Emma,2026-09-15T18:11:26.746+00:00
2026-09-14,2,0,0,,,,no growth,Emma,2026-09-15T18:11:34.996+00:00
2026-09-14,3,0,0,,,,no growth,Emma,2026-09-15T18:11:38.212+00:00
2026-09-14,4,2.5,0,,,,,Emma,2026-09-15T18:11:43.009+00:00
2026-09-14,5,5.5,2,,,,,Emma,2026-09-15T17:41:33.293+00:00
2026-09-14,6,0,0,,,,no growth,Emma,2026-09-15T18:11:40.99+00:00
2026-09-14,7,0,,,,,no growth,Emma,2026-09-15T18:11:47.659+00:00
2026-09-14,8,6,2,,,,,Emma,2026-09-15T17:41:46.667+00:00
2026-09-14,9,6.5,2,,,,,Emma,2026-09-15T17:41:53.794+00:00
2026-09-14,10,5,2,,,,,Emma,2026-09-15T17:42:01.413+00:00
2026-09-14,11,4,1,,,,,Emma,2026-09-15T17:42:06.904+00:00
2026-09-14,12,9,2,,,,,Emma,2026-09-15T17:42:08.335+00:00
2026-09-15,1,0,0,,,,,Emma,2026-09-15T22:24:54.151+00:00
2026-09-15,2,0,0,,,,,Emma,2026-09-15T22:24:56.238+00:00
2026-09-15,3,0,0,,,,,Emma,2026-09-15T22:24:58.919+00:00
2026-09-15,4,6,1,,,,,Emma,2026-09-15T22:25:10.465+00:00
2026-09-15,5,7,2,,,,,Emma,2026-09-15T22:25:26.858+00:00
2026-09-15,6,0,0,,,,,Emma,2026-09-15T22:25:04.084+00:00
2026-09-15,7,0,0,,,,,Emma,2026-09-15T22:25:32.726+00:00
2026-09-15,8,7,3,,,,,Emma,2026-09-15T22:25:43.998+00:00
2026-09-15,9,7.5,2,,,,,Emma,2026-09-15T22:25:53.779+00:00
2026-09-15,10,6,3,,,,,Emma,2026-09-15T22:25:59.415+00:00
2026-09-15,11,5,2,,,,,Emma,2026-09-15T22:26:03.343+00:00
2026-09-15,12,9.5,2,,,,,Emma,2026-09-15T22:26:17.773+00:00
